#============================================================================#          
#-------------------------------     Menu     -------------------------------#          
#============================================================================#          
# L1Seed                                                     Bit  Prescale POG     PAG 
L1_ETMHF140                                                  425         1
L1_ETMHF150                                                  426         1
L1_ETMHF90_HTT60er                                           428         1
L1_ETT1200                                                   410         1
L1_ETT1600                                                   411         1
L1_ETT2000                                                   412         1
L1_FirstBunchAfterTrain                                      477         1
L1_FirstBunchBeforeTrain                                     472         1
L1_FirstBunchInTrain                                         473         1
L1_FirstCollisionInOrbit                                     480         1
L1_FirstCollisionInTrain                                     479         1
L1_HCAL_LaserMon_Trig                                        500         1
L1_HCAL_LaserMon_Veto                                        501         1
L1_HTT120er                                                  398         1
L1_HTT160er                                                  399         1
L1_HTT200er                                                  400         1
L1_HTT255er                                                  401         1
L1_HTT280er                                                  402         1
L1_HTT280er_QuadJet_70_55_40_35_er2p4                        384         1
L1_HTT320er                                                  403         1
L1_HTT320er_QuadJet_70_55_40_40_er2p4                        385         1
L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3                  386         1
L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3                  387         1
L1_HTT360er                                                  404         1
L1_HTT400er                                                  405         1
L1_HTT450er                                                  406         1
L1_IsoEG32er2p5_Mt40                                         197         1
L1_IsoEG32er2p5_Mt44                                         198         1
L1_IsoEG32er2p5_Mt48                                         199         1
L1_IsoTau40er2p1_ETMHF100                                    294         1
L1_IsoTau40er2p1_ETMHF110                                    295         1
L1_IsoTau40er2p1_ETMHF120                                    296         1
L1_IsoTau40er2p1_ETMHF90                                     293         1
L1_IsolatedBunch                                             471         1
L1_LastBunchInTrain                                          476         1
L1_LastCollisionInTrain                                      478         1
L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3                 257         1
L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3                    259         1
L1_LooseIsoEG24er2p1_HTT100er                                238         1
L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3                 258         1
L1_LooseIsoEG26er2p1_HTT100er                                239         1
L1_LooseIsoEG26er2p1_Jet34er2p5_dR_Min0p3                    234         1
L1_LooseIsoEG28er2p1_HTT100er                                240         1
L1_LooseIsoEG28er2p1_Jet34er2p5_dR_Min0p3                    235         1
L1_LooseIsoEG30er2p1_HTT100er                                241         1
L1_LooseIsoEG30er2p1_Jet34er2p5_dR_Min0p3                    236         1
L1_MinimumBiasHF0_AND_BptxAND                                461         1
L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6 134         1
L1_Mu12er2p3_Jet40er2p1_dR_Max0p4_DoubleJet40er2p1_dEta_Max1p6 136         1
L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6 135         1
L1_Mu18er2p1_Tau24er2p1                                      281         1
L1_Mu18er2p1_Tau26er2p1                                      282         1
L1_Mu20_EG10er2p5                                             98         1
L1_Mu22er2p1_IsoTau32er2p1                                   284         1
L1_Mu22er2p1_IsoTau34er2p1                                   285         1
L1_Mu22er2p1_IsoTau36er2p1                                   286         1
L1_Mu22er2p1_IsoTau40er2p1                                   287         1
L1_Mu22er2p1_Tau70er2p1                                      289         1
L1_Mu3_Jet120er2p5_dR_Max0p4                                 126         1
L1_Mu3_Jet120er2p5_dR_Max0p8                                 125         1
L1_Mu3_Jet16er2p5_dR_Max0p4                                  121         1
L1_Mu3_Jet30er2p5                                            119         1
L1_Mu3_Jet35er2p5_dR_Max0p4                                  122         1
L1_Mu3_Jet60er2p5_dR_Max0p4                                  123         1
L1_Mu3_Jet80er2p5_dR_Max0p4                                  124         1
L1_Mu3er1p5_Jet100er2p5_ETMHF40                              128         1
L1_Mu3er1p5_Jet100er2p5_ETMHF50                              129         1
L1_Mu5_EG23er2p5                                              96         1
L1_Mu5_LooseIsoEG20er2p5                                     100         1
L1_Mu6_DoubleEG10er2p5                                       104         1
L1_Mu6_DoubleEG12er2p5                                       105         1
L1_Mu6_DoubleEG15er2p5                                       106         1
L1_Mu6_DoubleEG17er2p5                                       107         1
L1_Mu6_HTT240er                                              131         1
L1_Mu6_HTT250er                                              132         1
L1_Mu7_EG23er2p5                                              97         1
L1_Mu7_LooseIsoEG20er2p5                                     101         1
L1_Mu7_LooseIsoEG23er2p5                                     102         1
L1_NotBptxOR                                                 463         1
L1_QuadJet36er2p5_IsoTau52er2p1                              298         1
L1_QuadJet60er2p5                                            382         1
L1_QuadJet_95_75_65_20_DoubleJet_75_65_er2p5_Jet20_FWD3p0    376         1
L1_QuadMu0                                                    89         1
L1_QuadMu0_OQ                                                 88         1
L1_QuadMu0_SQ                                                 90         1
L1_SecondBunchInTrain                                        474         1
L1_SecondLastBunchInTrain                                    475         1
