path name,fit function,X0,X1,X2,X3,sigma,meanraw,X0err,X1err,X2err,X3err,ChiSqr
L1_ETM100,quad,0.017444154026409246,0.010675714299939045,0.00030522359526596307,0.0,0.013574193305255097,0,0.00218401285974772,0.0002891222395148306,9.403264790375927e-06,0.0,0.9277426747782567
L1_SingleJet36,quad,101.90538882336357,5.87498255713031,1.4570312157384266,0.0,29.231922545830287,0,4.708845656473623,0.6233923003285294,0.020273846223680288,0.0,4302434.163977494
L1_HTT200,quad,0.1683685467207776,0.026232241901782596,0.0015962927071779952,0.0,0.04861769871396627,0,0.007822861887470068,0.0010356050419107468,3.368147570392559e-05,0.0,11.901131963198457
L1_Mu8_HTT50,quad,0.17660153299371745,0.0025118693176210127,0.00224017258298179,0.0,0.03980793696113585,0,0.00640452971856603,0.0008478398848275723,2.7574848464468298e-05,0.0,7.978822740087391
L1_SingleMuOpen,quad,47.2384005523622,22.552017611222514,0.11581126812402719,0.0,22.436671956426803,0,3.6090578978267165,0.47778007853356386,0.015540018640962008,0.0,2537660.816589237
L1_QuadJetC40,quad,0.4283015084567987,-0.057355684282919206,0.005441661133009972,0.0,0.05671943738601582,0,0.009125562716226944,0.0012080535558985062,3.92902346538725e-05,0.0,16.198071197139363
L1_DoubleIsoTau32er,quad,0.14600686344423106,0.06927422518301789,-0.0001918579984801135,0.0,0.2557655771561024,0,0.041164699275803594,0.005448509709930728,0.00017717174467974831,0.0,328.45388892958874
L1_HTT125,quad,0.7526234223746306,0.07484130863690505,0.007658049045220473,0.0,0.19084203790478507,0,0.030702957031474597,0.004064484378063451,0.00013219173222984835,0.0,183.3781410783649
L1_AlwaysTrue,quad,22.487097942766248,-0.6616046103625327,0.027519181117066777,0.0,0.5368379809148357,0,0.20637380985334092,0.02349589859448493,0.000690148051226476,0.0,197.98997719611697
L1_DoubleMu0_Eta1p6_WdEta18,quad,0.29669108159343377,0.11252549362319689,0.0023205810803482866,0.0,0.12549397012836466,0,0.020189519725362603,0.0026727687161063936,8.693219148279147e-05,0.0,79.38938089097614
L1_ETM40,quad,8.324783003932541,-1.161025869425743,0.12648931075680517,0.0,1.3744326588234883,0,0.22117066801105695,0.029278815813575606,0.0009522381271846861,0.0,9511.442947880438
L1_DoubleIsoTau36er,quad,0.1163009171057667,0.047038155033628945,-0.00010083798240490777,0.0,0.03623427804802988,0,0.0058288657409271945,0.0007716259299209716,2.509611829458747e-05,0.0,6.610566830007867
