n   , L1AlgoName                                                   , 1.6E34 , 1.45e34 , 1.35e34 , 1.25e34 , 1.15e34 , 1.05e34 , 9.5e33 , 8.5e33 , 7.5e33 , 5e33
50  , L1_SingleEG40                                                , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
52  , L1_SingleEG45                                                , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
53  , L1_SingleIsoEG18                                             , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 500
54  , L1_SingleIsoEG20                                             , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 1
55  , L1_SingleIsoEG22                                             , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 1
56  , L1_SingleIsoEG24                                             , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 1      , 1
57  , L1_SingleIsoEG26                                             , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
59  , L1_SingleIsoEG28                                             , 0      , 0       , 0       , 0       , 0       , 1       , 1      , 1      , 1      , 1
60  , L1_SingleIsoEG30                                             , 0      , 0       , 0       , 0       , 1       , 1       , 1      , 1      , 1      , 1
61  , L1_SingleIsoEG34                                             , 0      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
62  , L1_SingleIsoEG18er                                           , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 1
63  , L1_SingleIsoEG20er                                           , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 1
64  , L1_SingleIsoEG22er                                           , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 1      , 1
65  , L1_SingleIsoEG24er                                           , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
66  , L1_SingleIsoEG26er                                           , 0      , 0       , 0       , 0       , 0       , 1       , 1      , 1      , 1      , 1
68  , L1_SingleIsoEG28er                                           , 0      , 0       , 0       , 0       , 1       , 1       , 1      , 1      , 1      , 1
69  , L1_SingleIsoEG30er                                           , 0      , 0       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
70  , L1_SingleIsoEG34er                                           , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
71  , L1_DoubleEG_15_10                                            , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 1      , 1
72  , L1_DoubleEG_18_17                                            , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
73  , L1_DoubleEG_20_18                                            , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
75  , L1_DoubleEG_22_10                                            , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
76  , L1_DoubleEG_23_10                                            , 0      , 0       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
77  , L1_DoubleEG_24_17                                            , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
78  , L1_TripleEG_14_10_8                                          , 0      , 0       , 0       , 0       , 0       , 1       , 1      , 1      , 1      , 1
79  , L1_TripleEG_18_17_8                                          , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
